Gene	Ensembl	Uniprot_Accession	Gene.description	HPA.evidence	RNA.tissue.specificity	RNA.tissue.specificity.score	RNA.tissue.specific.nTPM	Uniprot_Name	Mass	GO_Annotations	GeneID	Pubmed_Citations	Antibody.Count	HGNC	ASCTB_Tissues	ASCTB_UBERON
CLDN19	ENSG00000164007	Q8N6F1	Claudin 19	Evidence at transcript level	Group enriched	8	choroid plexus: 15.7;kidney: 16.8;placenta: 9.8	CLD19_HUMAN	23229	27	149461	33	1	NA	NA	NA
CLDN2	ENSG00000165376	P57739	Claudin 2	Evidence at protein level	Tissue enhanced	NA	choroid plexus: 92.2;gallbladder: 102.5;kidney: 166.7;seminal vesicle: 90.9	CLD2_HUMAN	24549	34	9075	114	7	NA	NA	NA
CLDN20	ENSG00000171217	P56880	Claudin 20	Evidence at transcript level	Low tissue specificity	NA		CLD20_HUMAN	23515	16	49861	21	6	NA	NA	NA
CLDN22	ENSG00000177300	Q8N7P3	Claudin 22	Evidence at transcript level	Tissue enriched	4	salivary gland: 4.9	CLD22_HUMAN	24509	16	53842	12	0	NA	NA	NA
CLDN23	ENSG00000253958	Q96B33	Claudin 23	Evidence at transcript level	Tissue enhanced	NA	stomach 1: 15.8	CLD23_HUMAN	31915	10	137075	19	0	NA	NA	NA
CLDN24	ENSG00000185758	A6NM45	Claudin 24	No human protein/transcript evidence	Not detected	NA		CLD24_HUMAN	24421	6	100132463	10	0	NA	NA	NA
CLDN25	ENSG00000228607	C9JDP6	Claudin 25	No human protein/transcript evidence	Not detected	NA		CLD25_HUMAN	25394	7	644672	6	0	NA	NA	NA
CLDN3	ENSG00000165215	O15551	Claudin 3	Evidence at protein level	Tissue enhanced	NA	intestine: 170.9;pancreas: 97.4;thyroid gland: 117.3	CLD3_HUMAN	23319	45	1365	118	3	HGNC:2045	Kidney, Thoracic thymus	UBERON:0002113, UBERON:0002370
CLDN34	ENSG00000234469	H7C241	Claudin 34	Evidence at transcript level	Tissue enhanced	NA	testis: 1.7	CLD34_HUMAN	24226	6	100288814	3	0	NA	NA	NA
CLDN4	ENSG00000189143	O14493	Claudin 4	Evidence at protein level	Tissue enhanced	NA	esophagus: 307.4;urinary bladder: 306.5	CLD4_HUMAN	22077	46	1364	168	16	NA	NA	NA
CLDN5	ENSG00000184113	O00501	Claudin 5	Evidence at protein level	Tissue enhanced	NA	adipose tissue: 375.8;breast: 424.6;lung: 402.2	CLD5_HUMAN	23147	88	7122	129	9	HGNC:2047	Prostate gland, Eye, Ureter, Urinary bladder	UBERON:0002367, UBERON:0000970, UBERON:0000056, UBERON:0001255
CLDN6	ENSG00000184697	P56747	Claudin 6	Evidence at transcript level	Tissue enhanced	NA	brain: 1.3;pancreas: 1.0	CLD6_HUMAN	23292	21	9074	74	9	NA	NA	NA
CLDN7	ENSG00000181885	O95471	Claudin 7	Evidence at protein level	Tissue enhanced	NA	esophagus: 344.1;intestine: 250.9	CLD7_HUMAN	22418	94	1366	126	6	NA	NA	NA
CLDN8	ENSG00000156284	P56748	Claudin 8	Evidence at transcript level	Tissue enhanced	NA	breast: 69.6;intestine: 51.3;kidney: 69.9;salivary gland: 40.5	CLD8_HUMAN	24845	24	9073	43	2	NA	NA	NA
CLDN9	ENSG00000213937	O95484	Claudin 9	Evidence at protein level	Tissue enhanced	NA	brain: 9.7;pituitary gland: 25.4	CLD9_HUMAN	22848	36	9080	30	0	NA	NA	NA
CLDND1	ENSG00000080822	Q9NY35	Claudin domain containing 1	Evidence at transcript level	Group enriched	7	brain: 1181.4;choroid plexus: 423.4	CLDN1_HUMAN	28603	6	56650	26	0	NA	NA	NA
CLDND2	ENSG00000160318	Q8NHS1	Claudin domain containing 2	Evidence at transcript level	Tissue enhanced	NA	testis: 45.3	CLDN2_HUMAN	17984	27	125875	6	0	NA	NA	NA
CLEC10A	ENSG00000132514	Q8IUN9	C-type lectin domain containing 10A	Evidence at transcript level	Tissue enhanced	NA	lymphoid tissue: 29.7	CLC10_HUMAN	35446	33	10462	29	4	HGNC:16916	Spleen, Blood, Lymph node, Bone marrow, Thoracic thymus, Respiratory system	UBERON:0002106, UBERON:0000178, UBERON:0000029, UBERON:0002371, UBERON:0002370, UBERON:0001004
CLEC11A	ENSG00000105472	Q9Y240	C-type lectin domain containing 11A	Evidence at transcript level	Tissue enhanced	NA	bone marrow: 133.7	CLC11_HUMAN	35695	16	6320	32	9	HGNC:10576	Bone marrow	UBERON:0002371
CLEC12A	ENSG00000172322	Q5QGZ9	C-type lectin domain family 12 member A	Evidence at protein level	Tissue enhanced	NA	bone marrow: 80.6;lymphoid tissue: 22.3	CL12A_HUMAN	30762	10	160364	40	0	NA	NA	NA
CLEC12B	ENSG00000256660	Q2HXU8	C-type lectin domain family 12 member B	Evidence at transcript level	Group enriched	5	bone marrow: 5.2;skin 1: 4.3;testis: 13.2	CL12B_HUMAN	31616	17	387837	13	1	NA	NA	NA
CLEC14A	ENSG00000176435	Q86T13	C-type lectin domain containing 14A	Evidence at protein level	Low tissue specificity	NA		CLC14_HUMAN	51636	27	161198	25	0	NA	NA	NA
CLEC16A	ENSG00000038532	Q2KHT3	C-type lectin domain containing 16A	Evidence at protein level	Low tissue specificity	NA		CL16A_HUMAN	117715	15	23274	97	0	NA	NA	NA
CLEC17A	ENSG00000187912	Q6ZS10	C-type lectin domain containing 17A	Evidence at transcript level	Group enriched	6	intestine: 6.7;lymphoid tissue: 18.4	CL17A_HUMAN	42935	32	388512	7	0	NA	NA	NA
CLEC18A	ENSG00000157322	A5D8T8	C-type lectin domain family 18 member A	Evidence at transcript level	Tissue enriched	7	kidney: 23.2	CL18A_HUMAN	49602	13	348174	16	0	NA	NA	NA
CLEC18B	ENSG00000140839	Q6UXF7	C-type lectin domain family 18 member B	Evidence at transcript level	Tissue enhanced	NA	kidney: 32.7;testis: 11.9	CL18B_HUMAN	50490	5	497190	7	0	NA	NA	NA
CLEC18C	ENSG00000157335	Q8NCF0	C-type lectin domain family 18 member C	Evidence at transcript level	Group enriched	11	kidney: 17.2;testis: 4.3	CL18C_HUMAN	49585	6	283971	5	1	NA	NA	NA
CLEC19A	ENSG00000261210	Q6UXS0	C-type lectin domain containing 19A	Evidence at transcript level	Tissue enriched	4	brain: 3.0	CL19A_HUMAN	15448	5	728276	5	0	NA	NA	NA
CLEC1A	ENSG00000150048	Q8NC01	C-type lectin domain family 1 member A	Evidence at transcript level	Tissue enhanced	NA	lymphoid tissue: 50.7;placenta: 49.4	CLC1A_HUMAN	31952	18	51267	20	5	NA	NA	NA
CLEC1B	ENSG00000165682	Q9P126	C-type lectin domain family 1 member B	Evidence at transcript level	Tissue enriched	7	liver: 65.8	CLC1B_HUMAN	26596	17	51266	50	4	HGNC:24356	Bone marrow	UBERON:0002371
CLEC20A	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
CLEC2A	ENSG00000188393	Q6UVW9	C-type lectin domain family 2 member A	Evidence at transcript level	Tissue enriched	16	skin 1: 58.0	CLC2A_HUMAN	19972	12	387836	14	1	NA	NA	NA
CLEC2B	ENSG00000110852	Q92478	C-type lectin domain family 2 member B	Evidence at protein level	Tissue enhanced	NA	bone marrow: 114.0	CLC2B_HUMAN	17307	9	9976	25	1	NA	NA	NA
CLEC2D	ENSG00000069493	Q9UHP7	C-type lectin domain family 2 member D	Evidence at transcript level	Tissue enhanced	NA	lymphoid tissue: 53.9	CLC2D_HUMAN	21849	10	29121	37	11	NA	NA	NA
CLEC2L	ENSG00000236279	P0C7M8	C-type lectin domain family 2 member L	Evidence at protein level	Tissue enhanced	NA	brain: 38.4;parathyroid gland: 14.4	CLC2L_HUMAN	23927	2	154790	3	0	NA	NA	NA
CLEC3A	ENSG00000166509	O75596	C-type lectin domain family 3 member A	Evidence at transcript level	Tissue enhanced	NA	brain: 4.1;breast: 9.5;urinary bladder: 5.9	CLC3A_HUMAN	22233	4	10143	13	1	NA	NA	NA
CLEC3B	ENSG00000163815	P05452	C-type lectin domain family 3 member B	Evidence at protein level	Low tissue specificity	NA		TETN_HUMAN	22537	27	7123	48	72	NA	NA	NA
CLEC4A	ENSG00000111729	Q9UMR7	C-type lectin domain family 4 member A	Evidence at transcript level	Tissue enhanced	NA	bone marrow: 21.8;lymphoid tissue: 27.1	CLC4A_HUMAN	27512	20	50856	32	5	NA	NA	NA
CLEC4C	ENSG00000198178	Q8WTT0	C-type lectin domain family 4 member C	Evidence at transcript level	Tissue enhanced	NA	lymphoid tissue: 5.5	CLC4C_HUMAN	25038	18	170482	34	3	HGNC:13258	Lymph node, Spleen, Respiratory system	UBERON:0000029, UBERON:0002106, UBERON:0001004
CLEC4D	ENSG00000166527	Q8WXI8	C-type lectin domain family 4 member D	Evidence at transcript level	Tissue enriched	9	bone marrow: 65.3	CLC4D_HUMAN	24704	30	338339	16	12	NA	NA	NA
CLEC4E	ENSG00000166523	Q9ULY5	C-type lectin domain family 4 member E	Evidence at protein level	Tissue enhanced	NA	bone marrow: 76.4;lymphoid tissue: 52.7	CLC4E_HUMAN	25073	30	26253	43	15	NA	NA	NA
CLEC4F	ENSG00000152672	Q8N1N0	C-type lectin domain family 4 member F	Evidence at transcript level	Tissue enhanced	NA	retina: 17.4	CLC4F_HUMAN	65519	5	165530	9	0	NA	NA	NA
CLEC4G	ENSG00000182566	Q6UXB4	C-type lectin domain family 4 member G	Evidence at protein level	Tissue enhanced	NA	adipose tissue: 15.1;liver: 53.7;lymphoid tissue: 15.2	CLC4G_HUMAN	32562	30	339390	27	3	HGNC:24591	Lymph node	UBERON:0000029
CLEC4M	ENSG00000104938	Q9H2X3	C-type lectin domain family 4 member M	Evidence at protein level	Group enriched	5	liver: 63.1;lymphoid tissue: 16.6	CLC4M_HUMAN	45350	43	10332	125	15	HGNC:13523	Lymph node	UBERON:0000029
CLEC5A	ENSG00000258227	Q9NY25	C-type lectin domain containing 5A	Evidence at protein level	Tissue enriched	6	bone marrow: 41.7	CLC5A_HUMAN	21521	22	23601	34	1	NA	NA	NA
CLEC6A	ENSG00000205846	Q6EIG7	C-type lectin domain containing 6A	Evidence at transcript level	Tissue enhanced	NA	lung: 1.0;lymphoid tissue: 1.1	CLC6A_HUMAN	23998	34	93978	27	1	NA	NA	NA
CLEC7A	ENSG00000172243	Q9BXN2	C-type lectin domain containing 7A	Evidence at transcript level	Group enriched	5	bone marrow: 84.8;lung: 31.2;lymphoid tissue: 44.9	CLC7A_HUMAN	27627	106	64581	133	16	NA	NA	NA
CLEC9A	ENSG00000197992	Q6UXN8	C-type lectin domain containing 9A	Evidence at transcript level	Tissue enhanced	NA	lymphoid tissue: 7.6	CLC9A_HUMAN	27324	8	283420	21	2	HGNC:26705	Spleen, Lymph node, Blood, Respiratory system, Bone marrow, Thoracic thymus, Kidney	UBERON:0002106, UBERON:0000029, UBERON:0000178, UBERON:0001004, UBERON:0002371, UBERON:0002370, UBERON:0002113
CLECL1	ENSG00000184293	Q8IZS7	C-type lectin like 1	Evidence at protein level	Group enriched	5	intestine: 10.0;lymphoid tissue: 31.4	CLCL1_HUMAN	19115	13	160365	10	0	NA	NA	NA
CLGN	ENSG00000153132	O14967	Calmegin	Evidence at protein level	Tissue enhanced	NA	heart muscle: 60.0;testis: 114.6	CLGN_HUMAN	70039	11	1047	51	9	NA	NA	NA
CLHC1	ENSG00000162994	Q8NHS4	Clathrin heavy chain linker domain containing 1	Evidence at protein level	Low tissue specificity	NA		CLHC1_HUMAN	67250	3	130162	13	0	NA	NA	NA
CLIC1	ENSG00000213719	O00299	Chloride intracellular channel 1	Evidence at protein level	Low tissue specificity	NA		CLIC1_HUMAN	26923	44	1192	173	20	NA	NA	NA
CLIC2	ENSG00000155962	O15247	Chloride intracellular channel 2	Evidence at protein level	Low tissue specificity	NA		CLIC2_HUMAN	28356	26	1193	34	2	NA	NA	NA
CLIC3	ENSG00000169583	O95833	Chloride intracellular channel 3	Evidence at protein level	Group enriched	4	esophagus: 319.6;skin 1: 120.1;thyroid gland: 110.5;vagina: 133.3	CLIC3_HUMAN	26648	48	9022	29	10	HGNC:2064	Blood, Bone marrow	UBERON:0000178, UBERON:0002371
CLIC4	ENSG00000169504	Q9Y696	Chloride intracellular channel 4	Evidence at protein level	Low tissue specificity	NA		CLIC4_HUMAN	28772	47	25932	90	4	NA	NA	NA
CLIC5	ENSG00000112782	Q9NZA1	Chloride intracellular channel 5	Evidence at protein level	Tissue enhanced	NA	heart muscle: 103.7;skeletal muscle: 292.4;tongue: 99.2	CLIC5_HUMAN	46503	20	53405	40	2	NA	NA	NA
CLIC6	ENSG00000159212	Q96NY7	Chloride intracellular channel 6	Evidence at protein level	Group enriched	6	choroid plexus: 195.1;stomach 1: 139.6	CLIC6_HUMAN	73012	11	54102	18	0	NA	NA	NA
CLINT1	ENSG00000113282	Q14677	Clathrin interactor 1	Evidence at protein level	Low tissue specificity	NA		EPN4_HUMAN	68259	23	9685	97	10	NA	NA	NA
CLIP1	ENSG00000130779	P30622	CAP-Gly domain containing linker protein 1	Evidence at protein level	Tissue enhanced	NA	tongue: 170.6	CLIP1_HUMAN	162246	49	6249	104	7	NA	NA	NA
CLIP2	ENSG00000106665	Q9UDT6	CAP-Gly domain containing linker protein 2	Evidence at protein level	Tissue enhanced	NA	brain: 88.8	CLIP2_HUMAN	115837	8	7461	33	8	NA	NA	NA
CLIP3	ENSG00000105270	Q96DZ5	CAP-Gly domain containing linker protein 3	Evidence at transcript level	Tissue enhanced	NA	brain: 143.6	CLIP3_HUMAN	59560	38	25999	20	0	NA	NA	NA
CLIP4	ENSG00000115295	Q8N3C7	CAP-Gly domain containing linker protein family member 4	Evidence at protein level	Low tissue specificity	NA		CLIP4_HUMAN	76317	23	79745	20	3	NA	NA	NA
CLK1	ENSG00000013441	P49759	CDC like kinase 1	Evidence at protein level	Low tissue specificity	NA		CLK1_HUMAN	57291	18	1195	64	1	NA	NA	NA
CLK2	ENSG00000176444	P49760	CDC like kinase 2	Evidence at protein level	Low tissue specificity	NA		CLK2_HUMAN	60090	99	1196	63	0	NA	NA	NA
CLK3	ENSG00000179335	P49761	CDC like kinase 3	Evidence at protein level	Low tissue specificity	NA		CLK3_HUMAN	73515	76	1198	65	26	NA	NA	NA
CLK4	ENSG00000113240	Q9HAZ1	CDC like kinase 4	Evidence at protein level	Low tissue specificity	NA		CLK4_HUMAN	57492	19	57396	22	0	NA	NA	NA
CLLU1OS	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
CLMN	ENSG00000165959	Q96JQ2	Calmin	Evidence at protein level	Tissue enhanced	NA	brain: 63.2	CLMN_HUMAN	111651	8	79789	32	0	NA	NA	NA
CLMP	ENSG00000166250	Q9H6B4	CXADR like membrane protein	Evidence at transcript level	Tissue enhanced	NA	adipose tissue: 63.8	CLMP_HUMAN	41281	7	79827	27	2	NA	NA	NA
CLN3	ENSG00000188603	Q13286	CLN3 lysosomal/endosomal transmembrane protein, battenin	Evidence at transcript level	Low tissue specificity	NA		CLN3_HUMAN	47623	128	1201	122	9	NA	NA	NA
CLN5	ENSG00000102805	O75503	CLN5 intracellular trafficking protein	Evidence at transcript level	Low tissue specificity	NA		CLN5_HUMAN	41497	33	1203	55	1	NA	NA	NA
CLN6	ENSG00000128973	Q9NWW5	CLN6 transmembrane ER protein	Evidence at protein level	Low tissue specificity	NA		CLN6_HUMAN	35919	57	54982	74	0	NA	NA	NA
CLN8	ENSG00000182372	Q9UBY8	CLN8 transmembrane ER and ERGIC protein	Evidence at transcript level	Low tissue specificity	NA		CLN8_HUMAN	32787	43	2055	37	0	NA	NA	NA
CLNK	ENSG00000109684	Q7Z7G1	Cytokine dependent hematopoietic cell linker	Evidence at transcript level	Tissue enhanced	NA	kidney: 6.1	CLNK_HUMAN	49554	14	116449	16	0	NA	NA	NA
CLNS1A	ENSG00000074201	P54105	Chloride nucleotide-sensitive channel 1A	Evidence at protein level	Low tissue specificity	NA		ICLN_HUMAN	26215	62	1207	104	7	NA	NA	NA
CLOCK	ENSG00000134852	O15516	Clock circadian regulator	Evidence at protein level	Low tissue specificity	NA		CLOCK_HUMAN	95304	86	9575	285	18	NA	NA	NA
CLP1	ENSG00000172409	Q92989	Cleavage factor polyribonucleotide kinase subunit 1	Evidence at protein level	Low tissue specificity	NA		CLP1_HUMAN	47646	50	10978	42	7	NA	NA	NA
CLPB	ENSG00000162129	Q9H078	Caseinolytic mitochondrial matrix peptidase chaperone subunit B	Evidence at protein level	Tissue enriched	12	testis: 145.8	CLPB_HUMAN	78729	12	81570	72	0	NA	NA	NA
CLPP	ENSG00000125656	Q16740	Caseinolytic mitochondrial matrix peptidase proteolytic subunit	Evidence at protein level	Low tissue specificity	NA		CLPP_HUMAN	30180	42	8192	54	20	NA	NA	NA
CLPS	ENSG00000137392	P04118	Colipase	Evidence at protein level	Tissue enriched	1695	pancreas: 264335.0	COL_HUMAN	11954	10	1208	27	8	NA	NA	NA
CLPSL1	ENSG00000204140	A2RUU4	Colipase like 1	Evidence at protein level	Group enriched	90	epididymis: 612.9;pancreas: 179.9	COLL1_HUMAN	14057	6	340204	7	0	NA	NA	NA
CLPSL2	ENSG00000196748	Q6UWE3	Colipase like 2	Evidence at transcript level	Tissue enriched	102	epididymis: 536.8	COLL2_HUMAN	10812	7	389383	5	0	NA	NA	NA
CLPTM1	ENSG00000104853	O96005	CLPTM1 regulator of GABA type A receptor forward trafficking	Evidence at transcript level	Low tissue specificity	NA		CLPT1_HUMAN	76097	8	1209	69	2	NA	NA	NA
CLPTM1L	ENSG00000049656	Q96KA5	CLPTM1 like	Evidence at transcript level	Low tissue specificity	NA		CLP1L_HUMAN	62229	8	81037	129	0	NA	NA	NA
CLPX	ENSG00000166855	O76031	Caseinolytic mitochondrial matrix peptidase chaperone subunit X	Evidence at protein level	Low tissue specificity	NA		CLPX_HUMAN	69224	33	10845	86	0	NA	NA	NA
CLRN1	ENSG00000163646	P58418	Clarin 1	Evidence at transcript level	Group enriched	7	adrenal gland: 5.0;retina: 12.9	CLRN1_HUMAN	25719	46	7401	35	0	NA	NA	NA
CLRN2	ENSG00000249581	A0PK11	Clarin 2	No human protein/transcript evidence	Not detected	NA		CLRN2_HUMAN	25446	18	645104	7	0	NA	NA	NA
CLRN3	ENSG00000180745	Q8NCR9	Clarin 3	Evidence at transcript level	Group enriched	5	intestine: 89.8;kidney: 44.3;liver: 80.5	CLRN3_HUMAN	25321	4	119467	17	0	NA	NA	NA
CLSPN	ENSG00000092853	Q9HAW4	Claspin	Evidence at protein level	Tissue enhanced	NA	bone marrow: 11.4;lymphoid tissue: 7.9;retina: 6.9;testis: 5.8	CLSPN_HUMAN	151094	28	63967	106	1	NA	NA	NA
CLSTN1	ENSG00000171603	O94985	Calsyntenin 1	Evidence at protein level	Low tissue specificity	NA		CSTN1_HUMAN	109793	29	22883	41	6	NA	NA	NA
CLSTN2	ENSG00000158258	Q9H4D0	Calsyntenin 2	Evidence at transcript level	Group enriched	4	adipose tissue: 18.4;brain: 25.4;ovary: 65.2	CSTN2_HUMAN	107006	15	64084	29	1	NA	NA	NA
CLSTN3	ENSG00000139182	Q9BQT9	Calsyntenin 3	Evidence at transcript level	Low tissue specificity	NA		CSTN3_HUMAN	106098	33	9746	18	0	NA	NA	NA
CLTA	ENSG00000122705	P09496	Clathrin light chain A	Evidence at protein level	Low tissue specificity	NA		CLCA_HUMAN	27077	89	1211	107	79	NA	NA	NA
CLTB	ENSG00000175416	P09497	Clathrin light chain B	Evidence at protein level	Low tissue specificity	NA		CLCB_HUMAN	25190	39	1212	70	13	NA	NA	NA
CLTC	ENSG00000141367	Q00610	Clathrin heavy chain	Evidence at protein level	Low tissue specificity	NA		CLH1_HUMAN	191615	142	1213	410	13	NA	NA	NA
CLTCL1	ENSG00000070371	P53675	Clathrin heavy chain like 1	Evidence at protein level	Group enriched	6	skeletal muscle: 188.9;testis: 47.6;tongue: 61.9	CLH2_HUMAN	187030	47	8218	69	1	NA	NA	NA
CLTRN	ENSG00000147003	Q9HBJ8	Collectrin, amino acid transport regulator	Evidence at protein level	Tissue enriched	8	kidney: 490.8	CLTRN_HUMAN	25235	18	57393	26	0	NA	NA	NA
CLU	ENSG00000120885	P10909	Clusterin	Evidence at protein level	Tissue enhanced	NA	brain: 10199.9;liver: 9859.6	CLUS_HUMAN	52495	145	1191	607	73	HGNC:2095	Spleen, Thoracic thymus	UBERON:0002106, UBERON:0002370
CLUAP1	ENSG00000103351	Q96AJ1	Clusterin associated protein 1	Evidence at protein level	Low tissue specificity	NA		CLUA1_HUMAN	48125	36	23059	30	0	NA	NA	NA
CLUH	ENSG00000132361	O75153	Clustered mitochondria homolog	Evidence at protein level	Low tissue specificity	NA		CLU_HUMAN	146670	7	23277	40	0	NA	NA	NA
CLUL1	ENSG00000079101	Q15846	Clusterin like 1	Evidence at protein level	Tissue enriched	35	retina: 300.5	CLUL1_HUMAN	54215	3	27098	10	0	NA	NA	NA
CLVS1	ENSG00000177182	Q8IUQ0	Clavesin 1	Evidence at transcript level	Tissue enhanced	NA	brain: 10.7;retina: 5.2	CLVS1_HUMAN	40788	13	157807	15	1	NA	NA	NA
CLVS2	ENSG00000146352	Q5SYC1	Clavesin 2	Evidence at transcript level	Tissue enriched	5	brain: 41.4	CLVS2_HUMAN	38000	30	134829	9	0	NA	NA	NA
CLYBL	ENSG00000125246	Q8N0X4	Citramalyl-CoA lyase	Evidence at protein level	Tissue enhanced	NA	liver: 110.6	CLYBL_HUMAN	37359	12	171425	19	0	NA	NA	NA
CMA1	ENSG00000092009	P23946	Chymase 1	Evidence at protein level	Tissue enhanced	NA	breast: 18.7	CMA1_HUMAN	27325	26	1215	129	74	HGNC:2097	Respiratory system	UBERON:0001004
CMAS	ENSG00000111726	Q8NFW8	Cytidine monophosphate N-acetylneuraminic acid synthetase	Evidence at protein level	Low tissue specificity	NA		NEUA_HUMAN	48379	5	55907	59	9	NA	NA	NA
CMBL	ENSG00000164237	Q96DG6	Carboxymethylenebutenolidase homolog	Evidence at protein level	Tissue enhanced	NA	kidney: 170.0;liver: 173.8;skeletal muscle: 166.0	CMBL_HUMAN	28048	4	134147	28	0	NA	NA	NA
CMC1	ENSG00000187118	Q7Z7K0	C-X9-C motif containing 1	Evidence at protein level	Low tissue specificity	NA		COXM1_HUMAN	12490	3	152100	15	0	HGNC:28783	Thoracic thymus	UBERON:0002370
CMC2	ENSG00000103121	Q9NRP2	C-X9-C motif containing 2	Evidence at protein level	Low tissue specificity	NA		COXM2_HUMAN	9460	4	56942	19	0	NA	NA	NA
CMC4	ENSG00000182712	P56277	C-X9-C motif containing 4	Evidence at protein level	Low tissue specificity	NA		CMC4_HUMAN	7747	3	100272147	18	0	NA	NA	NA
CMIP	ENSG00000153815	Q8IY22	C-Maf inducing protein	Evidence at protein level	Low tissue specificity	NA		CMIP_HUMAN	86331	7	80790	47	1	NA	NA	NA
CMKLR1	ENSG00000174600	Q99788	Chemerin chemokine-like receptor 1	Evidence at transcript level	Tissue enhanced	NA	lymphoid tissue: 34.6	CML1_HUMAN	42322	34	1240	81	29	NA	NA	NA
CMPK1	ENSG00000162368	P30085	Cytidine/uridine monophosphate kinase 1	Evidence at protein level	Low tissue specificity	NA		KCY_HUMAN	22222	33	51727	57	14	NA	NA	NA
CMPK2	ENSG00000134326	Q5EBM0	Cytidine/uridine monophosphate kinase 2	Evidence at protein level	Tissue enhanced	NA	brain: 14.6;salivary gland: 8.6	CMPK2_HUMAN	49448	28	129607	9	1	NA	NA	NA
CMSS1	ENSG00000184220	Q9BQ75	Cms1 ribosomal small subunit homolog	Evidence at transcript level	Low tissue specificity	NA		CMS1_HUMAN	31884	3	84319	45	0	NA	NA	NA
CMTM1	ENSG00000089505	Q8IZ96	CKLF like MARVEL transmembrane domain containing 1	Evidence at transcript level	Tissue enriched	9	testis: 31.5	CKLF1_HUMAN	18576	5	113540	13	0	NA	NA	NA
CMTM2	ENSG00000140932	Q8TAZ6	CKLF like MARVEL transmembrane domain containing 2	Evidence at transcript level	Tissue enriched	429	testis: 654.0	CKLF2_HUMAN	27496	16	146225	19	0	NA	NA	NA
CMTM3	ENSG00000140931	Q96MX0	CKLF like MARVEL transmembrane domain containing 3	Evidence at transcript level	Low tissue specificity	NA		CKLF3_HUMAN	19714	31	123920	35	0	NA	NA	NA
CMTM4	ENSG00000183723	Q8IZR5	CKLF like MARVEL transmembrane domain containing 4	Evidence at protein level	Tissue enhanced	NA	brain: 45.0	CKLF4_HUMAN	25828	3	146223	21	4	NA	NA	NA
CMTM5	ENSG00000166091	Q96DZ9	CKLF like MARVEL transmembrane domain containing 5	Evidence at protein level	Group enriched	8	brain: 185.9;choroid plexus: 55.1	CKLF5_HUMAN	24653	61	116173	35	8	NA	NA	NA
CMTM6	ENSG00000091317	Q9NX76	CKLF like MARVEL transmembrane domain containing 6	Evidence at protein level	Low tissue specificity	NA		CKLF6_HUMAN	20419	36	54918	37	1	NA	NA	NA
CMTM7	ENSG00000153551	Q96FZ5	CKLF like MARVEL transmembrane domain containing 7	Evidence at transcript level	Low tissue specificity	NA		CKLF7_HUMAN	18834	52	112616	19	4	NA	NA	NA
CMTM8	ENSG00000170293	Q8IZV2	CKLF like MARVEL transmembrane domain containing 8	Evidence at transcript level	Tissue enhanced	NA	pancreas: 48.1	CKLF8_HUMAN	19572	11	152189	29	0	NA	NA	NA
CMTR1	ENSG00000137200	Q8N1G2	Cap methyltransferase 1	Evidence at protein level	Low tissue specificity	NA		CMTR1_HUMAN	95321	15	23070	37	0	NA	NA	NA
CMTR2	ENSG00000180917	Q8IYT2	Cap methyltransferase 2	Evidence at transcript level	Low tissue specificity	NA		CMTR2_HUMAN	88120	11	55783	14	0	NA	NA	NA
CMYA5	ENSG00000164309	Q8N3K9	Cardiomyopathy associated 5	Evidence at protein level	Group enriched	5	skeletal muscle: 628.6;tongue: 806.6	CMYA5_HUMAN	449211	9	202333	39	0	NA	NA	NA
